"","load1","load2","load3","load4","load5","load6","load7","load8","load9","load10","load11","load12","load13","load14","load15","load16","load17","load18","load19","load20","temp1","temp2","temp3","temp4","temp5","temp6","temp7","temp8","temp9","temp10","temp11"
"load1",1,0.986790936230155,0.986790927464545,0.981840807390889,0.983922920882061,0.987366924619595,0.986790927464545,0.987313353331268,0.911011798118227,0.97524493184228,0.975720649053193,0.963354460077704,0.991620529373326,0.978842692596749,0.989884673954706,0.972682282592146,0.990246455330267,0.988561915442556,0.988965305585472,0.991261853065087,0.977473543498132,0.982997102158969,0.976714713841294,0.979846742103635,0.975679577673049,0.982695273479109,0.979814669683896,0.980244029673747,0.979130871593671,0.982468352073388,0.980994140796603
"load2",0.986790936230155,1,0.997860488910904,0.985895370462887,0.980702573124397,0.997850800047598,0.997860488910904,0.988001236796072,0.925217382561237,0.985763883184051,0.980985649943638,0.964147292672726,0.989239018542295,0.966801963156986,0.98431813445262,0.969182886454633,0.990389044819301,0.987538878488317,0.977488217130916,0.995152462892965,0.987891209141731,0.990236622337078,0.98855722769394,0.988159576061716,0.988015154564272,0.989378904079302,0.9901159189604,0.988160317169584,0.990082283521294,0.989485202498521,0.991009828987308
"load3",0.986790927464545,0.997860488910904,1,0.985895368747901,0.980702589417788,0.997850806022108,0.997860485786988,0.988001216448046,0.925217459218698,0.98576389685929,0.980985664398279,0.964147309708223,0.989239022050026,0.966802002025855,0.984318166588148,0.969182910671822,0.990389056726549,0.987538897707932,0.97748824153229,0.995152470365454,0.987891242433768,0.990236656913129,0.988557270772303,0.988159622175251,0.988015203588974,0.989378942957044,0.990115956805838,0.9881603743183,0.990082319642086,0.989485245147914,0.991009872722464
"load4",0.981840807390889,0.985895370462887,0.985895368747901,1,0.975356283878624,0.986152165103414,0.985895368747901,0.981948966867997,0.932658582741197,0.97420542842699,0.972046264140148,0.959175943326302,0.986248973067442,0.964803113893713,0.980133427189928,0.966933593240287,0.984246814107158,0.982411435852901,0.97495670491846,0.987431226309819,0.985032883236152,0.987227256043786,0.985099013250345,0.984965265335458,0.984575911731757,0.986255644110313,0.986952665453597,0.984930496100744,0.986995191619846,0.986360997954064,0.987702238862855
"load5",0.983922920882061,0.980702573124397,0.980702589417788,0.975356283878624,1,0.982050414470895,0.980702589417788,0.991084235907813,0.891001883038627,0.973734338101793,0.983908565597989,0.979253513462921,0.985321984893472,0.979188560734242,0.987033639441324,0.98590957424106,0.982426184008119,0.991423857331449,0.985514512500404,0.984376525075892,0.968430324724298,0.969283168457539,0.968994892390213,0.968330743197628,0.968425015076636,0.968319696621622,0.970641057720865,0.968857676425547,0.971184690468258,0.968797856422962,0.971764971406719
"load6",0.987366924619595,0.997850800047598,0.997850806022108,0.986152165103414,0.982050414470895,1,0.997850806022108,0.988825264266902,0.924448136249752,0.985958698593143,0.981798121282173,0.965453921762246,0.989773176936878,0.967987719642108,0.985123884664967,0.970560346290099,0.990755986770622,0.988395907033682,0.978505821378747,0.995394412483302,0.987778867293838,0.990063937739738,0.988422359120423,0.98803214138166,0.987870313437042,0.989201217826088,0.990004569443343,0.988054746120036,0.989994886360329,0.989323041236996,0.990908663429893
"load7",0.986790927464545,0.997860488910904,0.997860485786988,0.985895368747901,0.980702589417788,0.997850806022108,1,0.988001216448046,0.925217459218698,0.98576389685929,0.980985664398279,0.964147309708223,0.989239022050026,0.966802002025855,0.984318166588148,0.969182910671822,0.990389056726549,0.987538897707932,0.97748824153229,0.995152470365454,0.987891242433768,0.990236656913129,0.988557270772303,0.988159622175251,0.988015203588974,0.989378942957044,0.990115956805838,0.9881603743183,0.990082319642086,0.989485245147914,0.991009872722464
"load8",0.987313353331268,0.988001236796072,0.988001216448046,0.981948966867997,0.991084235907813,0.988825264266902,0.988001216448046,1,0.907472131460683,0.975204088819133,0.982133106189698,0.973435153643831,0.989748640726157,0.974324561673604,0.987407652337167,0.979521724948055,0.984377410987465,0.989993617548714,0.9838872553983,0.989465579030228,0.975488375197741,0.978731333692023,0.977493519083753,0.975899105560025,0.976534007830834,0.976941829035523,0.977979900900947,0.976444064666648,0.978544330039301,0.9771880834538,0.980528132226211
"load9",0.911011798118227,0.925217382561237,0.925217459218698,0.932658582741197,0.891001883038627,0.924448136249752,0.925217459218698,0.907472131460683,1,0.911922681650923,0.89902307721578,0.880860111218306,0.918074836388431,0.882687367192132,0.90538205071343,0.883863733461615,0.916389255335625,0.905906679829802,0.894804084938431,0.922123574731345,0.935618776649145,0.936480021342254,0.93668319289826,0.934414710806686,0.936929694630814,0.934858788238247,0.937483664123881,0.933278225497653,0.938180612607227,0.934971088910387,0.936616329427405
"load10",0.97524493184228,0.985763883184051,0.98576389685929,0.97420542842699,0.973734338101793,0.985958698593143,0.98576389685929,0.975204088819133,0.911922681650923,1,0.992284762947388,0.981612583552048,0.980494059123203,0.976675485991623,0.983073055540805,0.980936517497117,0.98980084639134,0.985823534014691,0.979789098019737,0.985180018551693,0.986008288794898,0.97813477610991,0.984135520594019,0.982670315197186,0.984855863320457,0.981335185262005,0.981631223839465,0.982280275387596,0.981689166061059,0.981149672308113,0.977991874107667
