"","load1","load2","load3","load4","load5","load6","load7","load8","load9","load10","load11","load12","load13","load14","load15","load16","load17","load18","load19","load20","temp1","temp2","temp3","temp4","temp5","temp6","temp7","temp8","temp9","temp10","temp11"
"load1",0,1,1,1,-1,1,1,1,26,-23,-24,-24,-1,-1,-1,-24,-1,-1,-1,1,2,2,2,2,2,2,1,2,2,2,1
"load2",1,0,-1,-24,-1,-1,-1,1,26,-24,-24,-24,-1,-1,-1,-24,-1,-1,-1,1,-22,1,1,1,1,1,1,1,1,1,1
"load3",1,-1,0,-24,-1,-1,1,1,26,-24,-24,-24,-1,-1,-1,-24,-1,-1,-1,1,-22,1,1,1,1,1,1,1,1,1,1
"load4",1,-24,-24,0,-1,-1,24,1,-11,-24,-24,-24,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1
"load5",-1,-1,-1,-1,0,1,1,1,26,1,1,1,1,-1,1,1,1,1,-1,1,2,2,2,2,2,2,2,2,2,2,2
"load6",1,-1,-1,-1,1,0,1,1,26,-24,-24,-24,-1,-1,-1,-24,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1
"load7",1,-1,1,24,1,1,0,1,26,-24,-24,-24,-1,-1,-1,-24,-1,-1,-1,1,-22,1,1,1,1,1,1,1,1,1,1
"load8",1,1,1,1,1,1,1,0,26,-24,-24,-24,-1,-1,-1,-1,-1,-1,-1,-1,-22,1,1,1,1,1,1,1,1,1,1
"load9",26,26,26,-11,26,26,26,26,0,-1,-25,-26,-26,-26,-26,-26,-26,-26,-26,-26,1,-24,1,-1,1,-24,-24,-24,-24,-24,-1
"load10",-23,-24,-24,-24,1,-24,-24,-24,-1,0,-1,-1,24,-1,-1,-1,-1,-1,-1,24,1,1,1,1,1,1,1,1,1,1,25
"load11",-24,-24,-24,-24,1,-24,-24,-24,-25,-1,0,-1,24,-1,-1,-1,-1,-1,-1,24,2,25,1,1,1,1,1,1,1,1,1
"load12",-24,-24,-24,-24,1,-24,-24,-24,-26,-1,-1,0,24,-1,1,-1,-1,1,-1,24,2,25,2,1,2,2,1,2,2,2,25
"load13",-1,-1,-1,-1,1,-1,-1,-1,-26,24,24,24,0,-1,-1,-1,-1,-1,-1,1,2,1,2,1,1,1,1,1,1,1,1
"load14",-1,-1,-1,-1,-1,-1,-1,-1,-26,-1,-1,-1,-1,0,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2
"load15",-1,-1,-1,-1,1,-1,-1,-1,-26,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,2,1,2,1,1,1,1,1,1,1,1
"load16",-24,-24,-24,-1,1,-24,-24,-1,-26,-1,-1,-1,-1,1,-1,0,-1,1,-1,1,2,2,2,2,2,2,2,2,2,2,2
"load17",-1,-1,-1,-1,1,-1,-1,-1,-26,-1,-1,-1,-1,1,-1,-1,0,1,-1,1,2,2,2,2,2,2,2,2,2,2,2
"load18",-1,-1,-1,-1,1,-1,-1,-1,-26,-1,-1,1,-1,1,-1,1,1,0,-1,1,2,2,2,2,2,2,1,2,2,2,1
"load19",-1,-1,-1,-1,-1,-1,-1,-1,-26,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,2,2,2,2,2,2,2,2,2,2,2
"load20",1,1,1,-1,1,1,1,-1,-26,24,24,24,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"temp1",2,-22,-22,1,2,1,-22,-22,1,1,2,2,2,3,2,2,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"temp2",2,1,1,1,2,1,1,1,-24,1,25,25,1,2,1,2,2,2,2,1,-1,0,1,-1,1,1,-1,-1,-1,-1,-1
"temp3",2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
"temp4",2,1,1,1,2,1,1,1,-1,1,1,1,1,2,1,2,2,2,2,1,-1,-1,-1,0,1,1,1,1,1,1,-1
"temp5",2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1
"temp6",2,1,1,1,2,1,1,1,-24,1,1,2,1,2,1,2,2,2,2,1,-1,1,-1,1,-1,0,-1,-1,-1,-1,-1
"temp7",1,1,1,1,2,1,1,1,-24,1,1,1,1,2,1,2,2,1,2,1,-1,-1,-1,1,-1,-1,0,-1,1,1,-1
"temp8",2,1,1,1,2,1,1,1,-24,1,1,2,1,2,1,2,2,2,2,1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1
"temp9",2,1,1,1,2,1,1,1,-24,1,1,2,1,2,1,2,2,2,2,1,-1,-1,-1,1,-1,-1,1,1,0,-1,-1
"temp10",2,1,1,1,2,1,1,1,-24,1,1,2,1,2,1,2,2,2,2,1,-1,-1,-1,1,-1,-1,1,1,-1,0,-1
"temp11",1,1,1,1,2,1,1,1,-1,25,1,25,1,2,1,2,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
