"","load1","load2","load3","load4","load5","load6","load7","load8","load9","load10","load11","load12","load13","load14","load15","load16","load17","load18","load19","load20","temp1","temp2","temp3","temp4","temp5","temp6","temp7","temp8","temp9","temp10","temp11"
"load1",0,0,0,0,0,0,0,0,26,-23,-24,-24,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,1
"load2",0,0,0,0,0,0,0,0,26,0,0,-24,0,-1,0,-24,0,0,-1,0,-22,1,1,1,1,1,1,1,1,1,1
"load3",0,0,0,0,0,0,0,0,26,0,0,-24,0,-1,0,-24,0,0,-1,0,-22,1,1,1,1,1,1,1,1,1,1
"load4",0,0,0,0,0,0,0,0,-11,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"load5",0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
"load6",0,0,0,0,0,0,0,0,26,0,0,-24,0,-1,0,-24,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"load7",0,0,0,0,0,0,0,0,26,0,0,-24,0,-1,0,-24,0,0,-1,0,-22,1,1,1,1,1,1,1,1,1,1
"load8",0,0,0,0,0,0,0,0,26,-24,0,-24,0,-1,0,0,0,0,0,0,-22,1,1,1,1,1,1,1,1,1,1
"load9",26,26,26,-11,26,26,26,26,0,-1,-25,-26,-26,-26,-26,-26,-26,-26,-26,-26,1,0,0,0,0,0,0,0,0,0,0
"load10",-23,0,0,0,1,0,0,-24,-1,0,0,0,0,-1,0,0,-1,0,-1,0,1,1,1,1,1,1,1,1,1,1,25
"load11",-24,0,0,0,0,0,0,0,-25,0,0,0,0,-1,0,0,0,0,0,0,2,25,1,1,1,1,1,1,1,1,1
"load12",-24,-24,-24,0,0,-24,-24,-24,-26,0,0,0,0,0,0,0,0,0,0,24,2,25,2,1,2,2,1,2,2,2,25
"load13",0,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,1,1
"load14",0,-1,-1,-1,0,-1,-1,-1,-26,-1,-1,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,2,2,2
"load15",0,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,1,1
"load16",0,-24,-24,0,0,-24,-24,0,-26,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
"load17",0,0,0,0,0,0,0,0,-26,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
"load18",0,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,1
"load19",0,-1,-1,0,0,0,-1,0,-26,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
"load20",0,0,0,0,0,0,0,0,-26,0,0,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"temp1",2,-22,-22,1,2,1,-22,-22,1,1,2,2,2,3,2,2,2,2,2,1,0,0,0,-1,0,0,0,-1,0,0,-1
"temp2",2,1,1,1,2,1,1,1,0,1,25,25,1,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"temp3",2,1,1,1,2,1,1,1,0,1,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"temp4",2,1,1,1,2,1,1,1,0,1,1,1,1,2,1,2,2,2,2,1,-1,0,0,0,0,0,0,0,0,0,0
"temp5",2,1,1,1,2,1,1,1,0,1,1,2,1,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"temp6",2,1,1,1,2,1,1,1,0,1,1,2,1,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"temp7",1,1,1,1,2,1,1,1,0,1,1,1,1,2,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"temp8",2,1,1,1,2,1,1,1,0,1,1,2,1,2,1,2,2,2,2,1,-1,0,0,0,0,0,0,0,0,0,0
"temp9",2,1,1,1,2,1,1,1,0,1,1,2,1,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"temp10",2,1,1,1,2,1,1,1,0,1,1,2,1,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"temp11",1,1,1,1,2,1,1,1,0,25,1,25,1,2,1,2,2,1,2,1,-1,0,0,0,0,0,0,0,0,0,0
